time	syntax_penn_tok1	syntax_penn_tok2	syntax_penn_lem1	syntax_penn_lem2	lexical_tok1	lexical_tok2	lexical_lem1	lexical_lem2	cosine_semanticL	partner_direction	utterance_length1	utterance_length2	condition_info
0	0.21081851067789192	0.0	0.4472135954999579	0.0	0.0	0.0	0.10540925533894598	0.0	0.4178128303726132	CHI>MOT	15	6	time1-time1-condTD
1	0.1889822365046136	0.0	0.545544725589981	0.0	0.0	0.0	0.0	0.0	0.4965111259744759	MOT>CHI	6	10	time1-time1-condTD
2	0.11952286093343936	0.0	0.35856858280031806	0.0	0.0	0.0	0.0	0.0	0.2037535404068418	CHI>MOT	10	5	time1-time1-condTD
3	0.15811388300841897	0.0	0.4743416490252569	0.16666666666666666	0.12909944487358055	0.0	0.12909944487358055	0.0	0.24308039623031463	MOT>CHI	5	10	time1-time1-condTD
4	0.24806946917841693	0.0	0.24806946917841693	0.0	0.0	0.0	0.0	0.0	0.6185732896402175	CHI>MOT	10	5	time1-time1-condTD
5	0.3721042037676254	0.0	0.3464101615137754	0.0	0.0	0.0	0.0	0.0	0.6171151893037904	MOT>CHI	5	12	time1-time1-condTD
6	0.22360679774997896	0.21320071635561041	0.20412414523193148	0.21320071635561041	0.14433756729740646	0.0	0.14433756729740646	0.0	0.6394761211464215	CHI>MOT	12	3	time1-time1-condTD
7	0.40824829046386296	0.0	0.40824829046386296	0.0	0.0	0.0	0.0	0.0	0.26295358313729134	MOT>CHI	3	8	time1-time1-condTD
8	0.667124384994991	0.0	0.7142857142857142	0.0	0.09128709291752767	0.0	0.09128709291752767	0.0	0.5007055410036744	CHI>MOT	8	13	time1-time1-condTD
9	0.264197974633739	0.0	0.3223291856101521	0.0	0.0	0.0	0.17213259316477406	0.0	0.5262522969655302	MOT>CHI	13	18	time1-time1-condTD
10	0.17888543819998318	0.1025978352085154	0.27386127875258304	0.09534625892455921	0.07453559924999299	0.0	0.06804138174397717	0.0	0.6387108840222504	CHI>MOT	18	6	time1-time1-condTD
11	0.42426406871192845	0.0	0.22360679774997896	0.0	0.24494897427831783	0.0	0.24494897427831783	0.0	0.7860106009564832	MOT>CHI	6	13	time1-time1-condTD
12	0.3956282840374722	0.18898223650461363	0.35	0.12038585308576923	0.10690449676496974	0.0	0.10690449676496974	0.0	0.5440197491200448	CHI>MOT	13	14	time1-time1-condTD
13	0.5477225575051661	0.08908708063747481	0.5284981975632331	0.08512565307587487	0.10101525445522107	0.0	0.10101525445522107	0.0	0.4214840240235226	MOT>CHI	14	7	time1-time1-condTD
14	0.0	0.0	0.10540925533894598	0.0	0.0	0.0	0.11396057645963795	0.0	0.4371260619003128	CHI>MOT	7	9	time1-time1-condTD
15	0.20412414523193148	0.0	0.22360679774997896	0.0	0.0	0.0	0.0	0.0	0.2328045818252088	MOT>CHI	9	2	time1-time1-condTD
16	0.1889822365046136	0.0	0.0	0.0	0.15811388300841897	0.0	0.15811388300841897	0.0	0.2815847498901627	CHI>MOT	2	18	time1-time1-condTD
17	0.5246606686271624	0.140028008402801	0.4033921481948121	0.04588314677411235	0.0	0.0	0.0	0.0	0.8279157770738539	MOT>CHI	18	19	time1-time1-condTD
18	0.41783582524659624	0.13245323570650436	0.4318181818181818	0.04588314677411235	0.10660035817780524	0.0	0.10660035817780524	0.0	0.8421912948551634	CHI>MOT	19	20	time1-time1-condTD
19	0.19999999999999996	0.0	0.4999999999999999	0.22941573387056174	0.0	0.0	0.14433756729740646	0.0	0.0	MOT>CHI	20	2	time1-time1-condTD
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	CHI>MOT	2	2	time1-time1-condTD
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2983162429676671	MOT>CHI	2	4	time1-time1-condTD
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3347768509755894	CHI>MOT	4	3	time1-time1-condTD
23	0.42426406871192845	0.0	0.3872983346207417	0.0	0.0	0.0	0.0	0.0	0.3315101166218277	MOT>CHI	3	8	time1-time1-condTD
24	0.21081851067789195	0.0	0.21320071635561041	0.0	0.0	0.0	0.13363062095621217	0.0	0.3248198656974013	CHI>MOT	8	7	time1-time1-condTD
25	0.472455591261534	0.11322770341445959	0.5070925528371099	0.22645540682891918	0.20203050891044214	0.0	0.20203050891044214	0.0	0.5243807396401313	MOT>CHI	7	14	time1-time1-condTD
26	0.13245323570650439	0.0	0.37796447300922725	0.0	0.1336306209562122	0.0	0.1336306209562122	0.0	0.5591866438681694	CHI>MOT	14	4	time1-time1-condTD
27	0.5773502691896257	0.16666666666666669	0.7298004491997617	0.15430334996209194	0.0	0.0	0.0	0.0	0.48204893380346103	MOT>CHI	4	11	time1-time1-condTD
28	0.31622776601683794	0.20412414523193148	0.15811388300841897	0.0	0.17407765595569785	0.0	0.17407765595569785	0.0	0.6739240299225343	CHI>MOT	11	3	time1-time1-condTD
29	0.6666666666666667	0.0	0.2581988897471611	0.0	0.0	0.0	0.0	0.0	0.3304117238150077	MOT>CHI	3	3	time1-time1-condTD
30	0.5892556509887896	0.0	0.5661385170722979	0.0	0.0	0.0	0.0	0.0	0.44534907399960555	CHI>MOT	3	12	time1-time1-condTD
31	0.14433756729740646	0.0	0.2773500981126146	0.0	0.0	0.0	0.0	0.0	0.38243406357455145	MOT>CHI	12	2	time1-time1-condTD
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2334239478158724	CHI>MOT	2	2	time1-time1-condTD
33	0.35355339059327373	0.0	0.35355339059327373	0.0	0.0	0.0	0.0	0.0	0.22026778673334324	MOT>CHI	2	4	time1-time1-condTD
34	0.17407765595569785	0.0	0.6963106238227914	0.2581988897471611	0.20412414523193154	0.0	0.20412414523193154	0.0	0.3810544082097952	CHI>MOT	4	6	time1-time1-condTD
35	0.337099931231621	0.12403473458920847	0.3952847075210474	0.0	0.10206207261596577	0.0	0.2886751345948129	0.0	0.5992183766860789	MOT>CHI	6	14	time1-time1-condTD
36	0.6929348671835833	0.36313651960128146	0.5661385170722979	0.3380617018914066	0.22360679774997896	0.0	0.26352313834736496	0.0	0.7728178809037021	CHI>MOT	14	18	time1-time1-condTD
37	0.34112114616897665	0.0657951694959769	0.22268088570756164	0.0657951694959769	0.12909944487358055	0.0	0.12909944487358055	0.0	0.7344464448357388	MOT>CHI	18	10	time1-time1-condTD
38	0.12309149097933272	0.0	0.12309149097933272	0.0	0.0	0.0	0.0	0.0	0.4919021719926364	CHI>MOT	10	5	time1-time1-condTD
39	0.4923659639173309	0.2721655269759087	0.5892556509887896	0.39735970711951313	0.0	0.0	0.0	0.0	0.4421389915207208	MOT>CHI	5	18	time1-time1-condTD
40	0.609849578616645	0.3440312310280934	0.5662888944297418	0.3504383220252312	0.1386750490563073	0.0	0.13693063937629152	0.0	0.4690243280758766	CHI>MOT	18	16	time1-time1-condTD
41	0.314970394174356	0.0	0.451848057057532	0.0	0.0	0.0	0.0	0.0	0.5469647900612056	MOT>CHI	16	7	time1-time1-condTD
42	0.4082482904638631	0.0	0.20412414523193154	0.0	0.0	0.0	0.0	0.0	0.5642084324549569	CHI>MOT	7	4	time1-time1-condTD
