chat_words,chat_POS,penn_POS
aokay,adj,JJ
apriori,adj,JJ
adlib,adj,JJ
allgone,adj,JJ
allinone,adj,JJ
allout,adj,JJ
aroundtheclock,adj,JJ
avantgarde,adj,JJ
bangon,adj,JJ
behindthescenes,adj,JJ
bigass,adj,JJ
cando,adj,JJ
choochoo,adj,JJ
closeby,adj,JJ
derigueur,adj,JJ
dujour,adj,JJ
fancyshmancy,adj,JJ
faroff,adj,JJ
goodfornothing,adj,JJ
grownup,adj,JJ
gungho,adj,JJ
halfandhalf,adj,JJ
handson,adj,JJ
helterskelter,adj,JJ
honeydo,adj,JJ
hunkydory,adj,JJ
incahoots,adj,JJ
indepth,adj,JJ
inutero,adj,JJ
itsybitsy,adj,JJ
ittybitty,adj,JJ
livein,adj,JJ
loveydovey,adj,JJ
matteroffact,adj,JJ
nonshedding,adj,JJ
onthefritz,adj,JJ
onetoone,adj,JJ
outofbody,adj,JJ
outofcontrol,adj,JJ
overthecounter,adj,JJ
popup,adj,JJ
raggedytaggedy,adj,JJ
rrated,adj,JJ
redvelvet,adj,JJ
rinkydink,adj,JJ
seethrough,adj,JJ
soontobe,adj,JJ
spickandspan,adj,JJ
sunnysideup,adj,JJ
threed,adj,JJ
touchyfeely,adj,JJ
twod,adj,JJ
upsidedown,adj,JJ
welltodo,adj,JJ
wibblywobbly,adj,JJ
willynilly,adj,JJ
wishywashy,adj,JJ
xray,adj,JJ
ya,"pro:per[pers 2 ""you""",PRP
yall,"pro:per[pers 2[num pl ""you""",PRP
you,pro:per[pers 2,PRP
youall,pro:per[pers 2,PRP
youguys,pro:per[pers 2,PRP
youse,pro:per[pers 2,PRP
asto,prep,IN
aswellas,prep,IN
becauseof,prep,IN
exceptfor,prep,IN
inbetween,prep,IN
infrontof,prep,IN
insideof,prep,IN
insteadof,prep,IN
nextto,prep,IN
offof,prep,IN
otherthan,prep,IN
outof,prep,IN
outsideof,prep,IN
outta,prep,IN
ontopof,prep,IN
ratherthan,prep,IN
suchas,prep,IN
visavis,prep,IN
abit,adv,RB
alittle,adv,RB
alittlebit,adv,RB
alot,adv,RB
aposteriori,adv,RB
atinybit,adv,RB
aweek,adv:tem,RB
allofasudden,adv,RB
allout,adv,RB
adhoc,adv,RB
adinfinitum,adv,RB
adnauseam,adv,RB
aswell,adv,RB
atleast,adv,RB
byaccident,adv,RB
denovo,adv,RB
posthoc,adv,RB
flatout,adv,RB
waybackwhen,adv,RB
etal,adv,RB
cumlaude,adv,RB
daytoday,adv,RB
downpat,adv,RB
handoverhand,adv,RB
howabout,adv:wh,RB
howcome,adv:wh,RB
howsabout,adv:wh,RB
inparticular,adv,RB
inutero,adv,RB
kindof,adv,RB
lateron,adv,RB
licketysplit,adv,RB
littlebylittle,adv,RB
longago,adv,RB
longlongago,adv,RB
nolonger,adv,RB
onaccident,adv,RB
onpurpose,adv,RB
outloud,adv,RB
pellmell,adv,RB
perse,adv,RB
moreso,adv,RB
sofar,adv,RB
sotospeak,adv,RB
toandfro,adv,RB
upsidedown,adv,RB
viceversa,adv,RB
whatabout,adv:wh,RB
whereabouts,adv:wh,RB
aplus,n,NN
aliensgame,n,NN
almamater,n,NN
asbuilt,n,NN
bakingpowder,n,NN
batmobile,n,NN
beckandcall,n,NN
blackhole,n,NN
blundermove,n,NN
boardgames,n,NN
bodylanguage,n,NN
bonmot,n,NN
boostershot,n,NN
boxcutter,n,NN
carteblanche,n,NN
catchtwentytwo,n,NN
causeandeffect,n,NN
cdplayer,n,NN
cherryade,n,NN
chickennuggets,n,NN
chiniechinchin,n,NN
chipsahoy,n,NN
choochoo,n,NN
chowmein,n,NN
cinnamonrolls,n,NN
cocacola,n,NN
coqauvin,n,NN
corndogs,n,NN
coupd'etat,n,NN
creepycrawly,n,NN
crosscountry,n,NN
crossstitch,n,NN
discoball,n,NN
dna,n,NN
daddylonglegs,n,NN
deelybobber,n,NN
dotheopposite,n,NN
dogwhisperer,n,NN
driver'slicense,n,NN
duckduckgoose,n,NN
elementaryschool,n,NN
englishmuffin,n,NN
fastfood,n,NN
finishline,n,NN
flyingsaucer,n,NN
freeforall,n,NN
frenchfries,n,NN
friedchicken,n,NN
fruitsnack,n,NN
fourthgrade,n,NN
followtheleader,n,NN
garlicbread,n,NN
goldenretriever,n,NN
grandmal,n,NN
grilledcheese,n,NN
grownup,n,NN
halfandhalf,n,NN
hearttoheart,n,NN
hic,n,NN
hideandgoseek,n,NN
hideandseek,n,NN
hidengoseek,n,NN
highschool,n,NN
highschooler,n,NN
hiphop,n,NN
hokeypokey,n,NN
homeec,n,NN
hotfudge,n,NN
hoochiecoochie,n,NN
horsd'oeuvres,n,NN
hydrogenperoxide,n,NN
icecream,n,NN
icecreamsundae,n,NN
jackinabox,n,NN
jackinthebox,n,NN
jiujitsu,n,NN
juniorhigh,n,NN
juniorhighschool,n,NN
kitandcaboodle,n,NN
kittycat,n,NN
koolaid,n,NN
lpn,n,NN
lalaland,n,NN
languagearts,n,NN
lazySusan,n,NN
lifesaver,n,NN
lilypad,n,NN
linguafranca,n,NN
looptheloop,n,NN
luckycharms,n,NN
mandm,n,NN
mc,n,NN
macandcheese,n,NN
macaroniandcheese,n,NN
mashedpotatoes,n,NN
