chat_words,chat_POS,penn_POS
maryjane,n,NN
merrygoround,n,NN
middleschool,n,NN
mintchocolate ,n,NN
modusoperandi,n,NN
monstertruck,n,NN
multiplesclerosis,n,NN
nineoneone,n,NN
nonsequitur,n,NN
oclock,n,NN
oliveoil,n,NN
oneohone,n,NN
oneonone,n,NN
pacman,n,NN
peepingTom,n,NN
pinacolada,n,NN
popmusic,n,NN
popup,n,NN
primadonna,n,NN
qtip,n,NN
quidproquo,n,NN
randb,n,NN
randr,n,NN
realestate,n,NN
remotecontrol,n,NN
ricekrispies,n,NN
rigormortis,n,NN
rockandroll,n,NN
rollercoaster,n,NN
rolypoly,n,NN
roshhashanah,n,NN
rubberband,n,NN
scotchtape,n,NN
sevenup,n,NN
seventhgrade,n,NN
shootingstar,n,NN
sixthgrade,n,NN
snappea,n,NN
snowleopard,n,NN
socialstudies,n,NN
solarsystem,n,NN
statusquo,n,NN
steeringwheel,n,NN
stepdad,n,NN
stepsister,n,NN
stickybuns,n,NN
stringbeans,n,NN
stuffedanimal,n,NN
summacumlaude,n,NN
sweetandsoursauce,n,NN
tnt,n,NN
trex,n,NN
tshirt,n,NN
taichi,n,NN
teddygrahams,n,NN
tenk,n,NN
thirdgrade,n,NN
tictac,n,NN
tiptoes,n,NN
todo,n,NN
todolist,n,NN
toolbench,n,NN
toystory,n,NN
trickortreater,n,NN
trompeloeil,n,NN
tugofwar,n,NN
tuttifrutti,n,NN
tvshow,n,NN
tyrannosaurusrex,n,NN
videogame,n,NN
videogames,n,NN
vitaminc,n,NN
voiceacted,n,NN
wendyhouse,n,NN
whathaveyou,n,NN
whatif,n,NN
whatnot,n,NN
whatshername,n,NN
whatshisname,n,NN
whatsitsname,n,NN
whippedcream,n,NN
winterbreak,n,NN
wisdomteeth,n,NN
yearold,n,NN
yearsold,n,NN
xray,n,NN
adlib,v,VB
trickortreat,v,VB
xray,v,VB
letgo,v,VB
asif,conj,CC
aslongas,conj,CC
assoonas,conj,CC
aswellas,conj,CC
becauseof,conj,CC
'causeof,conj,CC
eventhough,conj,CC
incase,conj,CC
incasethat,conj,CC
nomatterwhat,conj,CC
onaccountof,conj,CC
sothat,conj,CC
suchthat,conj,CC
ie,conj,CC
eg,conj,CC
tminus,conj,CC
antsinyourpants,co,UH
bonvoyage,co,UH
bonappetit,co,UH
agogo,co,UH
afterall,co,UH
alakazam,co,UH
alldone,co,UH
allgone,co,UH
anyoldhow,co,UH
attaboy,co,UH
attagirl,co,UH
awman,co,UH
beddybye,co,UH
beddybyes,co,UH
begyourpardon,co,UH
blessyou,co,UH
bouncybouncy,co,UH
boyohboy,co,UH
boyohbrothers,co,UH
bygum,co,UH
byjove,co,UH
bytheway,co,UH
chrissake,co,UH
chrissakes,co,UH
comeon,co,UH
com'on,co,UH
damnit,co,UH
dangit,co,UH
darnit,co,UH
deardear,co,UH
dearyme,co,UH
doggoneit,co,UH
dumdum,co,UH
excuseme,co,UH
flippingheck,co,UH
forchrissake,co,UH
forchrissakes,co,UH
forgoodnesssake,co,UH
forgoodnesssakes,co,UH
forgoshsakes,co,UH
forheavenssake,co,UH
forpetessake,co,UH
forreals,co,UH
forsure,co,UH
fromthegetgo,co,UH
geeup,co,UH
geewhiz,co,UH
getset,co,UH
giddeeup,co,UH
glorybe,co,UH
goahead,co,UH
goon,co,UH
godalmighty,co,UH
godbless,co,UH
godblessyou,co,UH
godblessyous,co,UH
goddamn,co,UH
goddamnit,co,UH
goodafternoon,co,UH
goodday,co,UH
goodgracious,co,UH
goodgrief,co,UH
goodjob,co,UH
goodlord,co,UH
goodmorning,co,UH
goodnight,co,UH
goodnessgracious,co,UH
goodnessme,co,UH
goodnesssake,co,UH
goodnesssakes,co,UH
goshdarnit,co,UH
graciousmercy,co,UH
greatscot,co,UH
hangon,co,UH
happybirthday,co,UH
happynewyear,co,UH
headsup,co,UH
herehere,co,UH
herewego,co,UH
hereyago,co,UH
hereyougo,co,UH
heyyou,co,UH
highfive,co,UH
hiphiphooray,co,UH
hippityhop,co,UH
holdon,co,UH
holycow,co,UH
holyheck,co,UH
holymackerel,co,UH
holymoly,co,UH
hoohoo,co,UH
hophop,co,UH
hoppityhop,co,UH
hurryup,co,UH
Imean,co,UH
infact,co,UH
inotherwords,co,UH
jeezlouise,co,UH
jesuschrist,co,UH
jiminycrickets,co,UH
justkidding,co,UH
knowwhat,co,UH
loandbehold,co,UH
lookit,co,UH
mamamia,co,UH
methinks,co,UH
merrychristmas,co,UH
mindyou,co,UH
mydear,co,UH
mygod,co,UH
mygoodness,co,UH
mygosh,co,UH
mymy,co,UH
mymymy,co,UH
myohmy,co,UH
myword,co,UH
nevermind,co,UH
nighnigh,co,UH
nightnight,co,UH
nightienight,co,UH
nightienightie,co,UH
nodoubt,co,UH
nono,co,UH
nooffense,co,UH
noproblem,co,UH
noway,co,UH
noworries,co,UH
notatall,co,UH
omg,co,UH
ofcourse,co,UH
ohboy,co,UH
ohbrother,co,UH
ohdear,co,UH
ohdearyme,co,UH
ohgee,co,UH
ohgeeze,co,UH
ohgod,co,UH
ohgood,co,UH
ohgoodness,co,UH
ohgosh,co,UH
ohjesus,co,UH
ohlord,co,UH
ohman,co,UH
ohmercifulsaints,co,UH
ohmercy,co,UH
ohmy,co,UH
ohmygod,co,UH
ohmygoodness,co,UH
ohmygoodnessgracious,co,UH
ohmygosh,co,UH
ohneat,co,UH
ohno,co,UH
ohnuts,co,UH
ohsaints,co,UH
ohwell,co,UH
ohyeah,co,UH
okeycokey,co,UH
okeydoke,co,UH
okeydokey,co,UH
onyourmark,co,UH
onyourmarks,co,UH
onceuponatime,co,UH
ooptooboop,co,UH
oopsadaisy,co,UH
oopsiedaisy,co,UH
opensesame,co,UH
pardonme,co,UH
pardonyou,co,UH
peekiepeekie,co,UH
perse,co,UH
prestochango,co,UH
readygetset,co,UH
readygo,co,UH
readysetgo,co,UH
readyset,co,UH
ringring,co,UH
ruhroh,co,UH
screwit,co,UH
seehere,co,UH
setgo,co,UH
shipahoy,co,UH
shutup,co,UH
solong,co,UH
sotospeak,co,UH
superdoops,co,UH
suresure,co,UH
tminus,co,UH
tada,co,UH
tempertemper,co,UH
thankgod,co,UH
thankgoodness,co,UH
thankya,co,UH
thankyou,co,UH
thataboy,co,UH
thatsaboy,co,UH
theend,co,UH
therethere,co,UH
therewego,co,UH
thereyouare,co,UH
thereyougo,co,UH
threetwoone,co,UH
tictactoe,co,UH
tikatika,co,UH
timeout,co,UH
titfortat,co,UH
uhhuh,co =yes=,UH
uhoh,co,UH
uhuh,co =no=,UH
welldone,co,UH
wellwell,co,UH
whatthe,co,UH
whattheheck,co,UH
whatevertheheck,co,UH
whateveritis,co,UH
whatshisname,co,UH
yadayada,co,UH
yegods ,co,UH
yesindeedie,co,UH
youknow,co,UH
youknowwhat,co,UH
yousee,co,UH
yourewelcome,co,UH
